ep_num,ep_title,ep_air_date,ep_guest1,ep_guest2,ep_joke,ep_joke_topic,ep_smi,ep_smi_topic,ep_round_t,ep_round_h,ep_url
shot_10,Over That Rainbow (with Morris Day),5/3/17,Morris Day,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ4332546207
90,Episode 90: Bigots Have No Sense of Graphic Design (with Negin Farsad),5/17/17,Negin Farsad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ4189678880
91,Episode 91: Mary-Fake and Ashy (with The Lucas Bros),5/24/17,The Lucas Bros,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ1254467906
92,Episode 92: Sliding in on a Shrimp Sandwich (with Marcus Samuelsson),31-May,Marcus Samuelsson,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ7294348955
93,Episode 93: Find Your Cackle (with Doreen St. Felix and Durga Chew-Bose),6/7/17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ9106081018
shot_11,"Nah, Ceebs (with Tkay Maidza)",6/21/17,Tkay Maidza,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ8366274166
94,Episode 94: Another Round LIVE in Chicago!,6/28/17,Eve Ewing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ4562921474
95,Episode 95: No Stone Left Unturnt (with Jonny Sun),7/5/17,Jonny Sun,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ6014915942
96,Episode 96: Trap Improv (with Sasheer Zamata),7/12/17,Sasheer Zamata,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ6631689547
97,Episode 97: Ding Dong Ding-a-ling (with Matt Bellassai),7/19/17,Matt Bellassai,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ7884988694
98,Episode 98: TK,TK,TK,TK,TK,TK,TK,TK,TK,TK,TK
